request_id,decision,reason_code,severity
W100054,HOLD,INSUFFICIENT_SETTLED_AFTER_BUFFER,65
W100052,HOLD,INSUFFICIENT_SETTLED_AFTER_BUFFER,65
W100022,HOLD,INSUFFICIENT_SETTLED_AFTER_BUFFER,65
W100032,HOLD,INSUFFICIENT_SETTLED_AFTER_BUFFER,65
W100012,HOLD,INSUFFICIENT_SETTLED_AFTER_BUFFER,65
W100058,HOLD,INSUFFICIENT_SETTLED_AFTER_BUFFER,65
W100045,HOLD,INSUFFICIENT_SETTLED_AFTER_BUFFER,65
W100005,HOLD,INSUFFICIENT_AVAILABLE_AFTER_BUFFER,55
W100109,HOLD,INSUFFICIENT_AVAILABLE_AFTER_BUFFER,55
W100029,HOLD,INSUFFICIENT_AVAILABLE_AFTER_BUFFER,55
W100069,HOLD,INSUFFICIENT_AVAILABLE_AFTER_BUFFER,55
W100072,HOLD,INSUFFICIENT_AVAILABLE_AFTER_BUFFER,55
W100101,HOLD,DEST_CHANGED_RECENTLY,45
W100110,HOLD,DEST_CHANGED_RECENTLY,45
W100016,HOLD,DEST_CHANGED_RECENTLY,45
W100103,HOLD,DEST_CHANGED_RECENTLY,45
W100115,HOLD,DEST_CHANGED_RECENTLY,45
W100007,HOLD,DEST_CHANGED_RECENTLY,45
W100099,HOLD,DEST_CHANGED_RECENTLY,45
W100107,HOLD,DEST_CHANGED_RECENTLY,45
W100011,HOLD,DEST_CHANGED_RECENTLY,45
W100081,HOLD,DEST_CHANGED_RECENTLY,45
W100033,HOLD,DEST_CHANGED_RECENTLY,45
W100118,HOLD,DEST_CHANGED_RECENTLY,45
W100037,HOLD,DEST_CHANGED_RECENTLY,45
W100006,HOLD,DEST_CHANGED_RECENTLY,45
W100075,HOLD,URGENT_RISK_TIER,35
W100049,HOLD,URGENT_RISK_TIER,35
W100043,HOLD,URGENT_RISK_TIER,35
W100057,HOLD,URGENT_RISK_TIER,35
W100086,HOLD,URGENT_RISK_TIER,35
W100028,HOLD,URGENT_RISK_TIER,35
W100023,HOLD,URGENT_RISK_TIER,35
W100119,HOLD,URGENT_RISK_TIER,35
W100046,HOLD,URGENT_RISK_TIER,35
